full_id,name,shop,lon,lat
n2018089671,イワキメガネ,optician,139.7603,35.66952
n2018089690,韓国民芸 たくみ,variety_store,139.7603,35.6695
n2018089651,RICHARD MILLE,yes,139.7605,35.6695
n2018089656,S.T Dupont,boutique,139.7606,35.6694
n2017978575,,clothes,139.7601,35.6686
n2017978618,ローソン,convenience,139.7597,35.6688
n2017978531,Swarovski,jewelry,139.7600,35.6685
n2017978533,セブン-イレブン,convenience,139.7599,35.6684
n2018880743,DAMIANI,jewelry,139.7624,35.6704
n2018880748,FRED,jewelry,139.7626,35.67067
n2018264081,ファミリーマート,convenience,139.7741,35.6978
n2018880724,CHANEL,chemist,139.7629,35.6709
n2018185415,MARCO BICEGO,jewelry,139.7612,35.6693
n2018185418,ナチュラルローソン,convenience,139.7610,35.66949
n2018185412,BALMAIN,clothes,139.7615,35.6697
n2018185414,LOUIS VUITTON,bag,139.7619,35.67
n2018990019,Coach,bag,139.7636,35.6719
n2018990020,DSQUARED2,clothes,139.7627,35.6717
n2018929232,Ponte Vecchio,jewelry,139.7634,35.6714
n2018929234,YOSEIDO GALLERY,art,139.7633,35.6714
n2018929228,Cartier,jewelry,139.7632,35.6713
n2018929230,EiGHT MiLLiON,clothes,139.7632,35.6713
n2018880815,ロッサ,clothes,139.7623,35.6704
n2018880818,京林,clothes,139.7622,35.6703
n2019045866,BiG GINZA,alcohol,139.7609,35.67016
n2019045869,SELBY,jewelry,139.7608,35.67
n2018990089,,bag,139.7635,35.672
n2018990127,銀座熊本館,yes,139.7628,35.6718
n2018990025,Ms. REIKO,boutique,139.7620,35.6715
n2018990034,Victoria Golf,sports,139.7636,35.6717
n2018990021,Gap,clothes,139.7639,35.6722
n2018990022,JUNMEN,clothes,139.7627,35.6718
n2019197414,Swarovski,jewelry,139.7618,35.6679
n2019197416,Zara,clothes,139.7630,35.669
n2019136772,カレン旅行社,travel_agency,139.7593,35.6694
n2019197410,H&M,clothes,139.7627,35.6687
n2019051124,ピエスモンテ,confectionery,139.7607,35.6688
n2019136768,こじま花店,florist,139.7602,35.6704
n2019045870,mesanges,jewelry,139.7610,35.671
n2019045871,じゃぱんらんち,deli,139.7610,35.6702
n2041807441,Y'sRoad 上野アサゾー,bicycle,139.7734,35.7059
n2041807442,Y'sRoad 上野テック館,bicycle,139.7725,35.70529
n2028064126,ファミリーマート,convenience,139.7701,35.6998
n2041227773,バイシクルセオ 晴海店,bicycle,139.7822,35.65818
n2020432315,東京メガネ,optician,139.7430,35.6664
n2020442403,東京メガネ (Tokyo Megane),optician,139.7838,35.6843
n2019197502,和真 本店,optician,139.7617,35.6678
n2019197503,宝石・岩井,jewelry,139.7594,35.6676
n2054029010,ホワキャン,anime,139.7709,35.7016
n2059303752,イオシス,computer,139.7699,35.6993
n2045969892,maruetsu petit,supermarket,139.7441,35.6575
n2048082619,ビーズワールド,fabric,139.7388,35.6638
n2045969890,BMW,car,139.7446,35.6567
n2045969891,au,mobile_phone,139.7447,35.6565
n2041807443,Y'sRoad 上野本館,bicycle,139.7722,35.7053
n2041807444,Y'sRoad 上野ウェア館,bicycle,139.7725,35.7058
n2059755946,Ministop,convenience,139.7733,35.6911
n2059756428,ニコンプラザ銀座,electronics,139.7637,35.6688
n2059303797,千石電商,electronics_parts_shop,139.7700,35.6993
n2059303799,秋月電子通商,electronic_parts,139.7698,35.6993
n2059303795,千石電商,electronics_parts_shop,139.7702,35.69932
n2059303796,千石電商,electronics_parts_shop,139.7701,35.6993
n2059303754,ソフマップ3号店,electronics,139.7724,35.6974
n2059303789,アキバインフォ,gift,139.7725,35.7
n1937169545,ローソン,convenience,139.7466,35.7015
n1941149170,アウディジャパン,car,139.7929,35.6604
n1936267459,肉のハナマサ,supermarket,139.7737,35.7026
n1936274755,Robot Shop テクノロジア,electronics,139.7734,35.7024
